[2026-01-13 15:31:57] ========== Server Started ==========
[2026-01-13 15:31:57] Log file: logs\server_2026-01-13_15-31-57.log
[2026-01-13 15:32:00] Using in-memory registry (no persistence)
[2026-01-13 15:32:00] Starting server on port 5000 (mode=udp)
[2026-01-13 15:32:00] Server started successfully
[2026-01-13 15:32:00] Broadcasting server info (heartbeat timeout: 1m0s)
[2026-01-13 15:32:00] Starting TUI mode
[2026-01-13 15:32:10] Cleanup ran: removed 0 stale entries
[2026-01-13 15:32:10] REGISTER test-connectivity -> 127.0.0.1:9999 from 127.0.0.1:65090
[2026-01-13 15:32:11] REGISTER task-client0-0 -> 127.0.0.1:8000 from 127.0.0.1:65091
[2026-01-13 15:32:11] REGISTER task-client0-1 -> 127.0.0.1:8001 from 127.0.0.1:65092
[2026-01-13 15:32:11] REGISTER task-client0-2 -> 127.0.0.1:8002 from 127.0.0.1:65093
[2026-01-13 15:32:11] REGISTER task-client0-3 -> 127.0.0.1:8003 from 127.0.0.1:65094
[2026-01-13 15:32:11] REGISTER task-client0-4 -> 127.0.0.1:8004 from 127.0.0.1:65095
[2026-01-13 15:32:11] REGISTER task-client0-5 -> 127.0.0.1:8005 from 127.0.0.1:65096
[2026-01-13 15:32:11] REGISTER task-client0-6 -> 127.0.0.1:8006 from 127.0.0.1:65097
[2026-01-13 15:32:11] REGISTER task-client0-7 -> 127.0.0.1:8007 from 127.0.0.1:65098
[2026-01-13 15:32:11] REGISTER task-client0-8 -> 127.0.0.1:8008 from 127.0.0.1:65099
[2026-01-13 15:32:11] REGISTER task-client0-9 -> 127.0.0.1:8009 from 127.0.0.1:65100
[2026-01-13 15:32:11] REGISTER task-client0-10 -> 127.0.0.1:8010 from 127.0.0.1:65101
[2026-01-13 15:32:11] REGISTER task-client0-11 -> 127.0.0.1:8011 from 127.0.0.1:65102
[2026-01-13 15:32:11] REGISTER task-client0-12 -> 127.0.0.1:8012 from 127.0.0.1:65103
[2026-01-13 15:32:11] REGISTER task-client0-13 -> 127.0.0.1:8013 from 127.0.0.1:65104
[2026-01-13 15:32:11] REGISTER task-client0-14 -> 127.0.0.1:8014 from 127.0.0.1:65105
[2026-01-13 15:32:11] REGISTER task-client0-15 -> 127.0.0.1:8015 from 127.0.0.1:65106
[2026-01-13 15:32:11] REGISTER task-client0-16 -> 127.0.0.1:8016 from 127.0.0.1:65107
[2026-01-13 15:32:11] REGISTER task-client0-17 -> 127.0.0.1:8017 from 127.0.0.1:65108
[2026-01-13 15:32:11] REGISTER task-client0-18 -> 127.0.0.1:8018 from 127.0.0.1:65109
[2026-01-13 15:32:11] REGISTER task-client0-19 -> 127.0.0.1:8019 from 127.0.0.1:65110
[2026-01-13 15:32:11] REGISTER task-client0-20 -> 127.0.0.1:8020 from 127.0.0.1:65111
[2026-01-13 15:32:11] REGISTER task-client0-21 -> 127.0.0.1:8021 from 127.0.0.1:65112
[2026-01-13 15:32:11] REGISTER task-client0-22 -> 127.0.0.1:8022 from 127.0.0.1:65113
[2026-01-13 15:32:11] REGISTER task-client0-23 -> 127.0.0.1:8023 from 127.0.0.1:65114
[2026-01-13 15:32:11] REGISTER task-client0-24 -> 127.0.0.1:8024 from 127.0.0.1:65115
[2026-01-13 15:32:11] REGISTER task-client0-25 -> 127.0.0.1:8025 from 127.0.0.1:65116
[2026-01-13 15:32:11] REGISTER task-client0-26 -> 127.0.0.1:8026 from 127.0.0.1:65117
[2026-01-13 15:32:11] REGISTER task-client0-27 -> 127.0.0.1:8027 from 127.0.0.1:65118
[2026-01-13 15:32:11] REGISTER task-client0-28 -> 127.0.0.1:8028 from 127.0.0.1:65119
[2026-01-13 15:32:11] REGISTER task-client0-29 -> 127.0.0.1:8029 from 127.0.0.1:65120
[2026-01-13 15:32:11] REGISTER task-client0-30 -> 127.0.0.1:8030 from 127.0.0.1:65121
[2026-01-13 15:32:11] REGISTER task-client0-31 -> 127.0.0.1:8031 from 127.0.0.1:65122
[2026-01-13 15:32:11] REGISTER task-client0-32 -> 127.0.0.1:8032 from 127.0.0.1:65123
[2026-01-13 15:32:11] REGISTER task-client0-33 -> 127.0.0.1:8033 from 127.0.0.1:65124
[2026-01-13 15:32:11] REGISTER task-client0-34 -> 127.0.0.1:8034 from 127.0.0.1:65125
