[2026-01-12 16:00:29] ========== Server Started ==========
[2026-01-12 16:00:29] Log file: logs\server_2026-01-12_16-00-29.log
[2026-01-12 16:00:39] Using in-memory registry (no persistence)
[2026-01-12 16:00:39] Starting server on port 5000 (mode=udp)
[2026-01-12 16:00:39] Server started successfully
[2026-01-12 16:00:39] Broadcasting server info (heartbeat timeout: 1m0s)
[2026-01-12 16:00:39] Starting TUI mode
[2026-01-12 16:00:49] Cleanup ran: removed 0 stale entries
[2026-01-12 16:00:56] REGISTER test-connectivity -> 127.0.0.1:9999 from 127.0.0.1:55657
[2026-01-12 16:00:57] REGISTER task-client2-0 -> 127.0.0.1:10000 from 127.0.0.1:55658
[2026-01-12 16:00:57] REGISTER task-client2-1 -> 127.0.0.1:10001 from 127.0.0.1:55659
[2026-01-12 16:00:57] REGISTER task-client2-2 -> 127.0.0.1:10002 from 127.0.0.1:55660
[2026-01-12 16:00:57] REGISTER task-client2-3 -> 127.0.0.1:10003 from 127.0.0.1:55661
[2026-01-12 16:00:57] REGISTER task-client2-4 -> 127.0.0.1:10004 from 127.0.0.1:55662
[2026-01-12 16:00:57] REGISTER task-client2-5 -> 127.0.0.1:10005 from 127.0.0.1:55663
[2026-01-12 16:00:57] REGISTER task-client2-6 -> 127.0.0.1:10006 from 127.0.0.1:55664
[2026-01-12 16:00:57] REGISTER task-client2-7 -> 127.0.0.1:10007 from 127.0.0.1:55665
[2026-01-12 16:00:57] REGISTER task-client2-8 -> 127.0.0.1:10008 from 127.0.0.1:55666
[2026-01-12 16:00:57] REGISTER task-client2-9 -> 127.0.0.1:10009 from 127.0.0.1:55667
[2026-01-12 16:00:57] REGISTER task-client2-10 -> 127.0.0.1:10010 from 127.0.0.1:55668
[2026-01-12 16:00:57] REGISTER task-client2-11 -> 127.0.0.1:10011 from 127.0.0.1:55669
[2026-01-12 16:00:57] REGISTER task-client2-12 -> 127.0.0.1:10012 from 127.0.0.1:55670
[2026-01-12 16:00:57] REGISTER task-client2-13 -> 127.0.0.1:10013 from 127.0.0.1:55671
[2026-01-12 16:00:57] REGISTER task-client2-14 -> 127.0.0.1:10014 from 127.0.0.1:55672
[2026-01-12 16:00:57] REGISTER task-client2-15 -> 127.0.0.1:10015 from 127.0.0.1:55673
[2026-01-12 16:00:57] REGISTER task-client2-16 -> 127.0.0.1:10016 from 127.0.0.1:55674
[2026-01-12 16:00:57] REGISTER task-client2-17 -> 127.0.0.1:10017 from 127.0.0.1:55675
[2026-01-12 16:00:57] REGISTER task-client2-18 -> 127.0.0.1:10018 from 127.0.0.1:55676
[2026-01-12 16:00:57] REGISTER task-client2-19 -> 127.0.0.1:10019 from 127.0.0.1:55677
[2026-01-12 16:00:57] REGISTER task-client2-20 -> 127.0.0.1:10020 from 127.0.0.1:55678
[2026-01-12 16:00:57] REGISTER task-client2-21 -> 127.0.0.1:10021 from 127.0.0.1:55679
[2026-01-12 16:00:57] REGISTER task-client2-22 -> 127.0.0.1:10022 from 127.0.0.1:55680
[2026-01-12 16:00:57] REGISTER task-client2-23 -> 127.0.0.1:10023 from 127.0.0.1:55681
[2026-01-12 16:00:57] REGISTER task-client2-24 -> 127.0.0.1:10024 from 127.0.0.1:55682
[2026-01-12 16:00:57] REGISTER task-client2-25 -> 127.0.0.1:10025 from 127.0.0.1:55683
[2026-01-12 16:00:57] REGISTER task-client2-26 -> 127.0.0.1:10026 from 127.0.0.1:55684
[2026-01-12 16:00:57] REGISTER task-client2-27 -> 127.0.0.1:10027 from 127.0.0.1:55685
[2026-01-12 16:00:57] REGISTER task-client2-28 -> 127.0.0.1:10028 from 127.0.0.1:55686
[2026-01-12 16:00:57] REGISTER task-client2-29 -> 127.0.0.1:10029 from 127.0.0.1:55687
[2026-01-12 16:00:57] REGISTER task-client2-30 -> 127.0.0.1:10030 from 127.0.0.1:55688
[2026-01-12 16:00:57] REGISTER task-client2-31 -> 127.0.0.1:10031 from 127.0.0.1:55689
[2026-01-12 16:00:57] REGISTER task-client2-32 -> 127.0.0.1:10032 from 127.0.0.1:55690
[2026-01-12 16:00:57] REGISTER task-client2-33 -> 127.0.0.1:10033 from 127.0.0.1:55691
[2026-01-12 16:00:57] REGISTER task-client2-34 -> 127.0.0.1:10034 from 127.0.0.1:55692
[2026-01-12 16:00:57] REGISTER task-client2-35 -> 127.0.0.1:10035 from 127.0.0.1:55693
[2026-01-12 16:00:57] REGISTER task-client2-36 -> 127.0.0.1:10036 from 127.0.0.1:55694
[2026-01-12 16:00:57] REGISTER task-client2-37 -> 127.0.0.1:10037 from 127.0.0.1:55695
[2026-01-12 16:00:57] REGISTER task-client2-38 -> 127.0.0.1:10038 from 127.0.0.1:55696
[2026-01-12 16:00:57] REGISTER task-client2-39 -> 127.0.0.1:10039 from 127.0.0.1:55697
[2026-01-12 16:00:57] REGISTER task-client2-40 -> 127.0.0.1:10040 from 127.0.0.1:55698
[2026-01-12 16:00:57] REGISTER task-client2-41 -> 127.0.0.1:10041 from 127.0.0.1:55699
[2026-01-12 16:00:57] REGISTER task-client2-42 -> 127.0.0.1:10042 from 127.0.0.1:55700
[2026-01-12 16:00:57] REGISTER task-client2-43 -> 127.0.0.1:10043 from 127.0.0.1:55701
[2026-01-12 16:00:57] REGISTER task-client2-44 -> 127.0.0.1:10044 from 127.0.0.1:55702
[2026-01-12 16:00:57] REGISTER task-client2-45 -> 127.0.0.1:10045 from 127.0.0.1:55703
[2026-01-12 16:00:57] REGISTER task-client2-46 -> 127.0.0.1:10046 from 127.0.0.1:55704
[2026-01-12 16:00:57] REGISTER task-client2-47 -> 127.0.0.1:10047 from 127.0.0.1:55705
[2026-01-12 16:00:57] REGISTER task-client2-48 -> 127.0.0.1:10048 from 127.0.0.1:55706
[2026-01-12 16:00:57] REGISTER task-client2-49 -> 127.0.0.1:10049 from 127.0.0.1:55707
[2026-01-12 16:00:57] REGISTER task-client2-50 -> 127.0.0.1:10050 from 127.0.0.1:55708
[2026-01-12 16:00:57] REGISTER task-client2-51 -> 127.0.0.1:10051 from 127.0.0.1:55709
[2026-01-12 16:00:57] REGISTER task-client2-52 -> 127.0.0.1:10052 from 127.0.0.1:55710
[2026-01-12 16:00:57] REGISTER task-client2-53 -> 127.0.0.1:10053 from 127.0.0.1:55711
[2026-01-12 16:00:57] REGISTER task-client2-54 -> 127.0.0.1:10054 from 127.0.0.1:55712
[2026-01-12 16:00:57] REGISTER task-client2-55 -> 127.0.0.1:10055 from 127.0.0.1:55713
[2026-01-12 16:00:57] REGISTER task-client2-56 -> 127.0.0.1:10056 from 127.0.0.1:55714
[2026-01-12 16:00:57] REGISTER task-client2-57 -> 127.0.0.1:10057 from 127.0.0.1:55715
[2026-01-12 16:00:57] REGISTER task-client2-58 -> 127.0.0.1:10058 from 127.0.0.1:55716
[2026-01-12 16:00:57] REGISTER task-client2-59 -> 127.0.0.1:10059 from 127.0.0.1:55717
[2026-01-12 16:00:57] REGISTER task-client2-60 -> 127.0.0.1:10060 from 127.0.0.1:55718
[2026-01-12 16:00:57] REGISTER task-client2-61 -> 127.0.0.1:10061 from 127.0.0.1:55719
[2026-01-12 16:00:57] REGISTER task-client2-62 -> 127.0.0.1:10062 from 127.0.0.1:55720
[2026-01-12 16:00:57] REGISTER task-client2-63 -> 127.0.0.1:10063 from 127.0.0.1:55721
[2026-01-12 16:00:57] REGISTER task-client2-64 -> 127.0.0.1:10064 from 127.0.0.1:55722
[2026-01-12 16:00:57] REGISTER task-client2-65 -> 127.0.0.1:10065 from 127.0.0.1:55723
[2026-01-12 16:00:57] REGISTER task-client2-66 -> 127.0.0.1:10066 from 127.0.0.1:55724
[2026-01-12 16:00:57] REGISTER task-client2-67 -> 127.0.0.1:10067 from 127.0.0.1:55725
