[2026-01-16 17:01:36] ========== Server Started ==========
[2026-01-16 17:01:36] Log file: logs\server_2026-01-16_17-01-36.log
[2026-01-16 17:01:45] Using in-memory registry (no persistence)
[2026-01-16 17:01:45] Starting server on port 5000 (mode=udp)
[2026-01-16 17:01:45] Server started successfully
[2026-01-16 17:01:45] Broadcasting server info (heartbeat timeout: 1m0s)
[2026-01-16 17:01:45] Starting TUI mode
[2026-01-16 17:01:53] REGISTER test-task -> 192.168.1.100:8080 from 127.0.0.1:64295
[2026-01-16 17:01:53] QUERY test-task from 127.0.0.1:64296
[2026-01-16 17:01:53] QUERY nonexistent-task from 127.0.0.1:64297
[2026-01-16 17:01:53] REGISTER multi-task -> 10.0.0.1:8080 from 127.0.0.1:64298
[2026-01-16 17:01:53] REGISTER multi-task -> 10.0.0.2:8080 from 127.0.0.1:64299
[2026-01-16 17:01:53] QUERY multi-task from 127.0.0.1:64300
[2026-01-16 17:01:53] QUERY multi-task from 127.0.0.1:64301
[2026-01-16 17:01:53] QUERY multi-task from 127.0.0.1:64302
[2026-01-16 17:01:53] QUERY multi-task from 127.0.0.1:64303
[2026-01-16 17:01:55] Cleanup ran: removed 0 stale entries
[2026-01-16 17:02:05] Cleanup ran: removed 0 stale entries
[2026-01-16 17:02:15] Cleanup ran: removed 0 stale entries
[2026-01-16 17:02:25] Cleanup ran: removed 0 stale entries
[2026-01-16 17:02:35] Cleanup ran: removed 0 stale entries
[2026-01-16 17:02:45] Cleanup ran: removed 0 stale entries
[2026-01-16 17:02:55] Cleanup ran: removed 3 stale entries
[2026-01-16 17:03:05] Cleanup ran: removed 0 stale entries
[2026-01-16 17:03:15] Cleanup ran: removed 0 stale entries
[2026-01-16 17:03:25] Cleanup ran: removed 0 stale entries
[2026-01-16 17:03:35] Cleanup ran: removed 0 stale entries
[2026-01-16 17:03:45] Cleanup ran: removed 0 stale entries
[2026-01-16 17:03:55] Cleanup ran: removed 0 stale entries
[2026-01-16 17:04:05] Cleanup ran: removed 0 stale entries
[2026-01-16 17:04:15] Cleanup ran: removed 0 stale entries
[2026-01-16 17:04:25] Cleanup ran: removed 0 stale entries
[2026-01-16 17:04:35] Cleanup ran: removed 0 stale entries
[2026-01-16 17:04:45] Cleanup ran: removed 0 stale entries
[2026-01-16 17:04:55] Cleanup ran: removed 0 stale entries
[2026-01-16 17:05:05] Cleanup ran: removed 0 stale entries
[2026-01-16 17:05:15] Cleanup ran: removed 0 stale entries
[2026-01-16 17:05:25] Cleanup ran: removed 0 stale entries
[2026-01-16 17:05:35] Cleanup ran: removed 0 stale entries
[2026-01-16 17:05:45] Cleanup ran: removed 0 stale entries
[2026-01-16 17:05:55] Cleanup ran: removed 0 stale entries
[2026-01-16 17:06:05] Cleanup ran: removed 0 stale entries
[2026-01-16 17:06:15] Cleanup ran: removed 0 stale entries
[2026-01-16 17:06:25] Cleanup ran: removed 0 stale entries
[2026-01-16 17:06:35] Cleanup ran: removed 0 stale entries
[2026-01-16 17:06:45] Cleanup ran: removed 0 stale entries
[2026-01-16 17:06:55] Cleanup ran: removed 0 stale entries
[2026-01-16 17:07:05] Cleanup ran: removed 0 stale entries
[2026-01-16 17:07:15] Cleanup ran: removed 0 stale entries
[2026-01-16 17:07:25] Cleanup ran: removed 0 stale entries
[2026-01-16 17:07:35] Cleanup ran: removed 0 stale entries
[2026-01-16 17:07:45] Cleanup ran: removed 0 stale entries
[2026-01-16 17:07:55] Cleanup ran: removed 0 stale entries
[2026-01-16 17:08:05] Cleanup ran: removed 0 stale entries
[2026-01-16 17:08:15] Cleanup ran: removed 0 stale entries
[2026-01-16 17:08:25] Cleanup ran: removed 0 stale entries
[2026-01-16 17:08:35] Cleanup ran: removed 0 stale entries
[2026-01-16 17:08:45] Cleanup ran: removed 0 stale entries
[2026-01-16 17:08:55] Cleanup ran: removed 0 stale entries
[2026-01-16 17:09:05] Cleanup ran: removed 0 stale entries
[2026-01-16 17:09:15] Cleanup ran: removed 0 stale entries
[2026-01-16 17:09:25] Cleanup ran: removed 0 stale entries
[2026-01-16 17:09:35] Cleanup ran: removed 0 stale entries
[2026-01-16 17:09:45] Cleanup ran: removed 0 stale entries
[2026-01-16 17:09:55] Cleanup ran: removed 0 stale entries
[2026-01-16 17:10:05] Cleanup ran: removed 0 stale entries
[2026-01-16 17:10:15] Cleanup ran: removed 0 stale entries
[2026-01-16 17:10:25] Cleanup ran: removed 0 stale entries
[2026-01-16 17:10:35] Cleanup ran: removed 0 stale entries
