[2026-01-14 16:47:37] ========== Server Started ==========
[2026-01-14 16:47:37] Log file: logs\server_2026-01-14_16-47-37.log
[2026-01-14 16:47:40] Using in-memory registry (no persistence)
[2026-01-14 16:47:40] Starting server on port 5000 (mode=tls)
[2026-01-14 16:47:40] TLS mode: cert=certs/server.crt key=certs/server.key ca=certs/ca.crt
[2026-01-14 16:47:40] Server started successfully
[2026-01-14 16:47:40] Broadcasting server info (heartbeat timeout: 1m0s)
[2026-01-14 16:47:40] Starting TUI mode
[2026-01-14 16:47:40] TLS server started on 0.0.0.0:5000 (mutual auth enabled)
[2026-01-14 16:47:50] Cleanup ran: removed 0 stale entries
[2026-01-14 16:48:00] Cleanup ran: removed 0 stale entries
[2026-01-14 16:48:10] Cleanup ran: removed 0 stale entries
[2026-01-14 16:48:20] Cleanup ran: removed 0 stale entries
[2026-01-14 16:48:30] Cleanup ran: removed 0 stale entries
[2026-01-14 16:48:40] Cleanup ran: removed 0 stale entries
[2026-01-14 16:48:50] Cleanup ran: removed 0 stale entries
[2026-01-14 16:49:00] Cleanup ran: removed 0 stale entries
[2026-01-14 16:49:10] Cleanup ran: removed 0 stale entries
[2026-01-14 16:49:20] Cleanup ran: removed 0 stale entries
[2026-01-14 16:49:30] Cleanup ran: removed 0 stale entries
[2026-01-14 16:49:40] Cleanup ran: removed 0 stale entries
[2026-01-14 16:49:50] Cleanup ran: removed 0 stale entries
[2026-01-14 16:50:00] Cleanup ran: removed 0 stale entries
[2026-01-14 16:50:10] Cleanup ran: removed 0 stale entries
[2026-01-14 16:50:20] Cleanup ran: removed 0 stale entries
[2026-01-14 16:50:30] Cleanup ran: removed 0 stale entries
[2026-01-14 16:50:40] Cleanup ran: removed 0 stale entries
[2026-01-14 16:50:50] Cleanup ran: removed 0 stale entries
[2026-01-14 16:51:00] Cleanup ran: removed 0 stale entries
[2026-01-14 16:51:10] Cleanup ran: removed 0 stale entries
[2026-01-14 16:51:20] Cleanup ran: removed 0 stale entries
