[2026-01-13 15:58:13] ========== Server Started ==========
[2026-01-13 15:58:13] Log file: logs\server_2026-01-13_15-58-13.log
[2026-01-13 15:58:14] Using in-memory registry (no persistence)
[2026-01-13 15:58:14] Starting server on port 5000 (mode=udp)
[2026-01-13 15:58:14] Server started successfully
[2026-01-13 15:58:14] Broadcasting server info (heartbeat timeout: 1m0s)
[2026-01-13 15:58:14] Starting TUI mode
[2026-01-13 15:58:24] Cleanup ran: removed 0 stale entries
[2026-01-13 15:58:34] Cleanup ran: removed 0 stale entries
[2026-01-13 15:58:44] Cleanup ran: removed 0 stale entries
[2026-01-13 15:58:54] Cleanup ran: removed 0 stale entries
[2026-01-13 15:59:04] Cleanup ran: removed 0 stale entries
[2026-01-13 15:59:14] Cleanup ran: removed 0 stale entries
[2026-01-13 15:59:24] Cleanup ran: removed 0 stale entries
[2026-01-13 15:59:34] Cleanup ran: removed 0 stale entries
[2026-01-13 15:59:44] Cleanup ran: removed 0 stale entries
[2026-01-13 15:59:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:00:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:00:14] Cleanup ran: removed 0 stale entries
[2026-01-13 16:00:24] Cleanup ran: removed 0 stale entries
[2026-01-13 16:00:34] Cleanup ran: removed 0 stale entries
[2026-01-13 16:00:44] Cleanup ran: removed 0 stale entries
[2026-01-13 16:00:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:01:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:01:14] Cleanup ran: removed 0 stale entries
[2026-01-13 16:01:24] Cleanup ran: removed 0 stale entries
[2026-01-13 16:01:34] Cleanup ran: removed 0 stale entries
[2026-01-13 16:01:44] Cleanup ran: removed 0 stale entries
[2026-01-13 16:01:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:02:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:02:14] Cleanup ran: removed 0 stale entries
[2026-01-13 16:02:24] Cleanup ran: removed 0 stale entries
[2026-01-13 16:02:34] Cleanup ran: removed 0 stale entries
[2026-01-13 16:02:44] Cleanup ran: removed 0 stale entries
[2026-01-13 16:02:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:03:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:03:14] Cleanup ran: removed 0 stale entries
[2026-01-13 16:03:24] Cleanup ran: removed 0 stale entries
[2026-01-13 16:03:34] Cleanup ran: removed 0 stale entries
[2026-01-13 16:03:44] Cleanup ran: removed 0 stale entries
[2026-01-13 16:03:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:04:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:04:14] Cleanup ran: removed 0 stale entries
[2026-01-13 16:04:24] Cleanup ran: removed 0 stale entries
[2026-01-13 16:04:34] Cleanup ran: removed 0 stale entries
[2026-01-13 16:04:44] Cleanup ran: removed 0 stale entries
[2026-01-13 16:04:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:05:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:05:14] Cleanup ran: removed 0 stale entries
[2026-01-13 16:05:24] Cleanup ran: removed 0 stale entries
[2026-01-13 16:05:34] Cleanup ran: removed 0 stale entries
[2026-01-13 16:05:44] Cleanup ran: removed 0 stale entries
[2026-01-13 16:05:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:06:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:06:14] Cleanup ran: removed 0 stale entries
[2026-01-13 16:06:24] Cleanup ran: removed 0 stale entries
[2026-01-13 16:06:34] Cleanup ran: removed 0 stale entries
[2026-01-13 16:06:44] Cleanup ran: removed 0 stale entries
[2026-01-13 16:06:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:07:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:07:14] Cleanup ran: removed 0 stale entries
[2026-01-13 16:07:24] Cleanup ran: removed 0 stale entries
[2026-01-13 16:07:34] Cleanup ran: removed 0 stale entries
[2026-01-13 16:07:44] Cleanup ran: removed 0 stale entries
[2026-01-13 16:07:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:08:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:08:14] Cleanup ran: removed 0 stale entries
[2026-01-13 16:08:24] Cleanup ran: removed 0 stale entries
[2026-01-13 16:08:34] Cleanup ran: removed 0 stale entries
[2026-01-13 16:08:44] Cleanup ran: removed 0 stale entries
[2026-01-13 16:08:54] Cleanup ran: removed 0 stale entries
[2026-01-13 16:09:04] Cleanup ran: removed 0 stale entries
[2026-01-13 16:09:14] Cleanup ran: removed 0 stale entries
